Joint0 X:-0.279591, Y:-0.743649, Z:1.156828
Joint1 X:-0.285166, Y:-0.543984, Z:1.270030
Joint2 X:-0.290933, Y:-0.349516, Z:1.363361
Joint3 X:-0.278781, Y:-0.189806, Z:1.405485
Joint4 X:-0.365049, Y:-0.423664, Z:1.256249
Joint5 X:-0.469584, Y:-0.565735, Z:1.114139
Joint6 X:-0.224086, Y:-0.621990, Z:1.128568
Joint7 X:-0.153288, Y:-0.617219, Z:1.165406
Joint8 X:-0.127446, Y:-0.328221, Z:1.424674
Joint9 X:-0.024186, Y:-0.108259, Z:1.400731
Joint10 X:0.047257, Y:0.116551, Z:1.368279
Joint11 X:0.055888, Y:0.163978, Z:1.357578
Joint12 X:-0.373232, Y:-0.726780, Z:1.105190
Joint13 X:-0.155686, Y:-0.686971, Z:0.697162
Joint14 X:0.047125, Y:-0.660626, Z:0.323399
Joint15 X:0.088346, Y:-0.572035, Z:0.211686
Joint16 X:-0.171889, Y:-0.722162, Z:1.147672
Joint17 X:-0.440998, Y:-0.446882, Z:1.201812
Joint18 X:-0.085063, Y:-0.689834, Z:1.354266
Joint19 X:-0.119532, Y:-0.592032, Z:1.217966
Joint20 X:-0.289446, Y:-0.397413, Z:1.343120
Joint21 X:-0.075374, Y:-0.655664, Z:1.171063
Joint22 X:-0.125638, Y:-0.586194, Z:1.200258
Joint23 X:0.063181, Y:0.216839, Z:1.334210
Joint24 X:0.096763, Y:0.164532, Z:1.377667
Joint0 X:-0.279712, Y:-0.742750, Z:1.157994
Joint1 X:-0.288020, Y:-0.544880, Z:1.269294
Joint2 X:-0.290531, Y:-0.351667, Z:1.365057
Joint3 X:-0.277808, Y:-0.196443, Z:1.412483
Joint4 X:-0.365100, Y:-0.424767, Z:1.261146
Joint5 X:-0.473212, Y:-0.564786, Z:1.119807
Joint6 X:-0.219155, Y:-0.624146, Z:1.127324
Joint7 X:-0.146996, Y:-0.629032, Z:1.165476
Joint8 X:-0.126766, Y:-0.336212, Z:1.427334
Joint9 X:-0.012950, Y:-0.055974, Z:1.374178
Joint10 X:0.059093, Y:0.150485, Z:1.329147
Joint11 X:0.042229, Y:0.151313, Z:1.314117
Joint12 X:-0.374838, Y:-0.729096, Z:1.112479
Joint13 X:-0.158525, Y:-0.687632, Z:0.704019
Joint14 X:0.043110, Y:-0.659781, Z:0.329926
Joint15 X:0.084876, Y:-0.570924, Z:0.218336
Joint16 X:-0.170528, Y:-0.718501, Z:1.144617
Joint17 X:-0.443546, Y:-0.451819, Z:1.200368
Joint18 X:-0.087594, Y:-0.694716, Z:1.352853
Joint19 X:-0.124062, Y:-0.588040, Z:1.224854
Joint20 X:-0.290490, Y:-0.399666, Z:1.343558
Joint21 X:-0.070561, Y:-0.662773, Z:1.178703
Joint22 X:-0.137743, Y:-0.598199, Z:1.184057
Joint23 X:0.051589, Y:0.208143, Z:1.287698
Joint24 X:0.024022, Y:0.158163, Z:1.266972
Joint0 X:-0.343024, Y:-0.741365, Z:1.276043
Joint1 X:-0.274666, Y:-0.503648, Z:1.342559
Joint2 X:-0.207716, Y:-0.269897, Z:1.390506
Joint3 X:-0.194740, Y:-0.100301, Z:1.436708
Joint4 X:-0.305314, Y:-0.212938, Z:1.347196
Joint5 X:-0.433839, Y:-0.443202, Z:1.192861
Joint6 X:-0.168947, Y:-0.529164, Z:1.174456
Joint7 X:-0.136717, Y:-0.587734, Z:1.216486
Joint8 X:-0.147488, Y:-0.298189, Z:1.385395
Joint9 X:-0.097125, Y:-0.009076, Z:1.289489
Joint10 X:-0.080148, Y:0.202313, Z:1.215612
Joint11 X:-0.087532, Y:0.205839, Z:1.214750
Joint12 X:-0.407584, Y:-0.698077, Z:1.231440
Joint13 X:-0.183096, Y:-0.592323, Z:0.839971
Joint14 X:0.026732, Y:-0.503460, Z:0.484338
Joint15 X:0.071766, Y:-0.449723, Z:0.352941
Joint16 X:-0.262243, Y:-0.749854, Z:1.260657
Joint17 X:-0.514689, Y:-0.469754, Z:1.172130
Joint18 X:-0.843090, Y:-0.128822, Z:1.087433
Joint19 X:-0.820562, Y:-0.062608, Z:0.956050
Joint20 X:-0.223909, Y:-0.327542, Z:1.380906
Joint21 X:-0.097432, Y:-0.623989, Z:1.196514
Joint22 X:-0.125589, Y:-0.566424, Z:1.262520
Joint23 X:-0.088541, Y:0.220249, Z:1.196537
Joint24 X:-0.100921, Y:0.190804, Z:1.165930
Joint0 X:-0.255082, Y:-0.725268, Z:1.186314
Joint1 X:-0.283748, Y:-0.533882, Z:1.284338
Joint2 X:-0.304500, Y:-0.345806, Z:1.364611
Joint3 X:-0.278743, Y:-0.182308, Z:1.431874
Joint4 X:-0.406927, Y:-0.402919, Z:1.298743
Joint5 X:-0.484402, Y:-0.543358, Z:1.136299
Joint6 X:-0.269895, Y:-0.605798, Z:1.128333
Joint7 X:-0.196616, Y:-0.615291, Z:1.142164
Joint8 X:-0.221803, Y:-0.330398, Z:1.353896
Joint9 X:-0.062553, Y:-0.168601, Z:1.330141
Joint10 X:-0.251206, Y:0.030128, Z:1.393894
Joint11 X:-0.281866, Y:0.032611, Z:1.416838
Joint12 X:-0.370316, Y:-0.727056, Z:1.158137
Joint13 X:-0.144411, Y:-0.688943, Z:0.754844
Joint14 X:0.066519, Y:-0.664041, Z:0.386278
Joint15 X:0.079550, Y:-0.577182, Z:0.264020
Joint16 X:-0.124081, Y:-0.684264, Z:1.155935
Joint17 X:-0.451105, Y:-0.501364, Z:1.177225
Joint18 X:-0.870254, Y:-0.287621, Z:1.236011
Joint19 X:-0.893215, Y:-0.199345, Z:1.128687
Joint20 X:-0.299730, Y:-0.392998, Z:1.348300
Joint21 X:-0.116012, Y:-0.646903, Z:1.156146
Joint22 X:-0.181672, Y:-0.623193, Z:1.093182
Joint23 X:-0.336438, Y:0.054652, Z:1.436003
Joint24 X:-0.323068, Y:0.025507, Z:1.397800
Joint0 X:-0.284896, Y:-0.723172, Z:1.175321
Joint1 X:-0.287169, Y:-0.491986, Z:1.282869
Joint2 X:-0.280385, Y:-0.263384, Z:1.375160
Joint3 X:-0.264516, Y:-0.147153, Z:1.394083
Joint4 X:-0.354101, Y:-0.296879, Z:1.337770
Joint5 X:-0.457620, Y:-0.521811, Z:1.157912
Joint6 X:-0.288102, Y:-0.410460, Z:1.247516
Joint7 X:-0.226542, Y:-0.423033, Z:1.323045
Joint8 X:-0.136713, Y:-0.385463, Z:1.375277
Joint9 X:-0.021671, Y:-0.265801, Z:1.210837
Joint10 X:-0.169005, Y:-0.114329, Z:1.268601
Joint11 X:-0.191828, Y:-0.080730, Z:1.255664
Joint12 X:-0.407147, Y:-0.661632, Z:1.126271
Joint13 X:-0.126780, Y:-0.670361, Z:0.756724
Joint14 X:0.134771, Y:-0.688164, Z:0.420425
Joint15 X:0.178848, Y:-0.612499, Z:0.303252
Joint16 X:-0.162624, Y:-0.744721, Z:1.163437
Joint17 X:-0.462587, Y:-0.447376, Z:1.216026
Joint18 X:-0.339615, Y:-0.813595, Z:1.108176
Joint19 X:-0.272624, Y:-0.799152, Z:0.975995
Joint20 X:-0.282615, Y:-0.317952, Z:1.354284
Joint21 X:-0.150925, Y:-0.406371, Z:1.333801
Joint22 X:-0.270418, Y:-0.380018, Z:1.325875
Joint23 X:-0.222054, Y:-0.039587, Z:1.233024
Joint24 X:-0.158485, Y:-0.048186, Z:1.229846
Joint0 X:-0.299995, Y:-0.758860, Z:1.121844
Joint1 X:-0.301010, Y:-0.549128, Z:1.257941
Joint2 X:-0.299727, Y:-0.346532, Z:1.376549
Joint3 X:-0.288055, Y:-0.214433, Z:1.414329
Joint4 X:-0.390647, Y:-0.432951, Z:1.270586
Joint5 X:-0.477557, Y:-0.569334, Z:1.110016
Joint6 X:-0.333501, Y:-0.437106, Z:1.214345
